priorities,real_happiness,after_strategy_happiness,strategy_id,num_of_flips
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'מעיני-הישועה', 'לניאדו', 'סורוקה', 'יוספטל', 'וולפסון', 'נצרת', 'הלל-יפה', 'רבין-השרון', 'אסף-הרופא', 'המרכזי-בעמק', 'אסותא-אשדוד', 'קפלן', 'איכילוב-סוראסקי', 'שערי-צדק', 'ברזילי', 'כרמל', 'הדסה', 'מאיר', 'רמבם', 'רבין-בילינסון', 'שיבא']",494.4899996800001,576.0,6,6
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'הדסה', 'רמבם', 'לניאדו', 'שיבא', 'פוריה', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'מאיר', 'קפלן', 'אסף-הרופא', 'סורוקה', 'ברזילי', 'כרמל', 'רבין-השרון', 'מעיני-הישועה', 'אסותא-אשדוד', 'נצרת', 'יוספטל', 'רבין-בילינסון']",494.4899996800001,517.72391152,7,6
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'שיבא', 'לניאדו', 'רמבם', 'מעיני-הישועה', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'מאיר', 'קפלן', 'אסף-הרופא', 'סורוקה', 'ברזילי', 'כרמל', 'הדסה', 'רבין-השרון', 'פוריה', 'יוספטל', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד']",524.55999937,533.74081534,1,7
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'שיבא', 'המרכזי-בעמק', 'רמבם', 'לניאדו', 'מעיני-הישועה', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'מאיר', 'שערי-צדק', 'קפלן', 'אסף-הרופא', 'סורוקה', 'ברזילי', 'הדסה', 'כרמל', 'רבין-השרון', 'פוריה', 'יוספטל', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד']",524.55999937,531.58999993,2,7
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'לניאדו', 'שיבא', 'מעיני-הישועה', 'רמבם', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'מאיר', 'שערי-צדק', 'קפלן', 'אסף-הרופא', 'סורוקה', 'ברזילי', 'הדסה', 'כרמל', 'רבין-השרון', 'פוריה', 'יוספטל', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד']",524.55999937,536.79666604,3,7
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'שיבא', 'לניאדו', 'רמבם', 'מעיני-הישועה', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'מאיר', 'שערי-צדק', 'קפלן', 'אסף-הרופא', 'סורוקה', 'ברזילי', 'הדסה', 'כרמל', 'רבין-השרון', 'פוריה', 'יוספטל', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד']",524.55999937,528.91309801,4,7
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'שיבא', 'המרכזי-בעמק', 'רמבם', 'לניאדו', 'איכילוב-סוראסקי', 'מעיני-הישועה', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'מאיר', 'אסף-הרופא', 'ברזילי', 'סורוקה', 'כרמל', 'הדסה', 'רבין-השרון', 'פוריה', 'יוספטל', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד']",524.55999937,524.68000024,5,7
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'מעיני-הישועה', 'פוריה', 'לניאדו', 'יוספטל', 'סורוקה', 'נצרת', 'וולפסון', 'הלל-יפה', 'רבין-השרון', 'המרכזי-בעמק', 'אסף-הרופא', 'אסותא-אשדוד', 'קפלן', 'איכילוב-סוראסקי', 'שערי-צדק', 'ברזילי', 'כרמל', 'מאיר', 'הדסה', 'רמבם', 'רבין-בילינסון', 'שיבא']",524.55999937,576.0,6,7
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'שיבא', 'מאיר', 'המרכזי-בעמק', 'רמבם', 'לניאדו', 'מעיני-הישועה', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'אסף-הרופא', 'סורוקה', 'ברזילי', 'הדסה', 'כרמל', 'רבין-השרון', 'פוריה', 'יוספטל', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד']",524.55999937,533.3099997099999,7,7
"['הדסה', 'נהריה', 'וולפסון', 'שיבא', 'המרכזי-בעמק', 'רמבם', 'פוריה', 'מעיני-הישועה', 'רבקה-זיו', 'איכילוב-סוראסקי', 'מאיר', 'הלל-יפה', 'שערי-צדק', 'בני-ציון', 'קפלן', 'סורוקה', 'אסף-הרופא', 'ברזילי', 'כרמל', 'רבין-השרון', 'לניאדו', 'יוספטל', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד']",620.2,621.16,4,8
"['הדסה', 'נהריה', 'שיבא', 'וולפסון', 'מאיר', 'רמבם', 'המרכזי-בעמק', 'פוריה', 'מעיני-הישועה', 'איכילוב-סוראסקי', 'רבקה-זיו', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'בני-ציון', 'סורוקה', 'אסף-הרופא', 'ברזילי', 'כרמל', 'רבין-השרון', 'לניאדו', 'יוספטל', 'רבין-בילינסון', 'נצרת', 'אסותא-אשדוד']",620.2,625.0,7,8
"['יוספטל', 'נהריה', 'שיבא', 'רמבם', 'וולפסון', 'המרכזי-בעמק', 'מעיני-הישועה', 'פוריה', 'בני-ציון', 'רבקה-זיו', 'איכילוב-סוראסקי', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'לניאדו', 'מאיר', 'נצרת', 'ברזילי', 'כרמל', 'רבין-השרון', 'סורוקה', 'רבין-בילינסון', 'הדסה', 'אסותא-אשדוד', 'אסף-הרופא']",578.520000555,591.36354183,0,9
"['יוספטל', 'נהריה', 'שיבא', 'וולפסון', 'רמבם', 'המרכזי-בעמק', 'פוריה', 'מעיני-הישועה', 'איכילוב-סוראסקי', 'בני-ציון', 'רבקה-זיו', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'לניאדו', 'מאיר', 'נצרת', 'ברזילי', 'כרמל', 'רבין-השרון', 'סורוקה', 'אסותא-אשדוד', 'רבין-בילינסון', 'הדסה', 'אסף-הרופא']",578.520000555,592.22104183,1,9
"['יוספטל', 'נהריה', 'וולפסון', 'שיבא', 'המרכזי-בעמק', 'רמבם', 'פוריה', 'מעיני-הישועה', 'איכילוב-סוראסקי', 'בני-ציון', 'רבקה-זיו', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'מאיר', 'לניאדו', 'נצרת', 'ברזילי', 'כרמל', 'רבין-השרון', 'סורוקה', 'הדסה', 'אסותא-אשדוד', 'רבין-בילינסון', 'אסף-הרופא']",578.520000555,603.11680874,3,9
"['יוספטל', 'נהריה', 'שיבא', 'וולפסון', 'רמבם', 'המרכזי-בעמק', 'מעיני-הישועה', 'פוריה', 'איכילוב-סוראסקי', 'רבקה-זיו', 'בני-ציון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'מאיר', 'לניאדו', 'נצרת', 'ברזילי', 'כרמל', 'רבין-השרון', 'סורוקה', 'הדסה', 'רבין-בילינסון', 'אסותא-אשדוד', 'אסף-הרופא']",578.520000555,594.42604183,4,9
"['יוספטל', 'שיבא', 'נהריה', 'רמבם', 'וולפסון', 'המרכזי-בעמק', 'פוריה', 'איכילוב-סוראסקי', 'מעיני-הישועה', 'בני-ציון', 'רבקה-זיו', 'שערי-צדק', 'קפלן', 'הלל-יפה', 'מאיר', 'לניאדו', 'ברזילי', 'כרמל', 'נצרת', 'רבין-השרון', 'סורוקה', 'רבין-בילינסון', 'הדסה', 'אסותא-אשדוד', 'אסף-הרופא']",578.520000555,579.849999445,5,9
"['יוספטל', 'שיבא', 'נהריה', 'רמבם', 'מאיר', 'וולפסון', 'המרכזי-בעמק', 'פוריה', 'מעיני-הישועה', 'איכילוב-סוראסקי', 'בני-ציון', 'רבקה-זיו', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'לניאדו', 'נצרת', 'ברזילי', 'כרמל', 'רבין-השרון', 'סורוקה', 'רבין-בילינסון', 'הדסה', 'אסותא-אשדוד', 'אסף-הרופא']",578.520000555,582.11000012,7,9
